condition,seed,fold,n_test_windows,n_test_subjects,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
original_A1A2_same_windows,7,1,1562,24,0.8425096030729834,0.8033707865168539,0.8943452380952381,0.9096692111959288,0.8532219570405727,0.8870886837881219
common_average_reference,7,1,1562,24,0.8847631241997439,0.8662921348314607,0.9092261904761905,0.9266826923076923,0.8954703832752614,0.9406785045478865
original_A1A2_same_windows,7,2,1659,24,0.8450874020494273,0.8855218855218855,0.7981770833333334,0.8358050847457628,0.8599455040871934,0.9307762228769173
common_average_reference,7,2,1659,24,0.9059674502712477,0.9046015712682379,0.9075520833333334,0.9190421892816419,0.9117647058823529,0.9634459467358775
original_A1A2_same_windows,7,3,1608,24,0.7786069651741293,0.764172335600907,0.7961432506887053,0.8199513381995134,0.7910798122065729,0.8432086792476403
common_average_reference,7,3,1608,24,0.7356965174129353,0.7834467120181405,0.6776859504132231,0.7470270270270271,0.7648035417819592,0.7689167494362299
original_A1A2_same_windows,7,4,1722,24,0.8066202090592335,0.9620123203285421,0.6042780748663101,0.7599351175993512,0.8491164476665157,0.8280362966541853
common_average_reference,7,4,1722,24,0.8490127758420442,0.9106776180698152,0.7687165775401069,0.8367924528301887,0.8721730580137659,0.9234653120161637
original_A1A2_same_windows,8,0,1662,24,0.8014440433212996,0.9140369967355821,0.6621803499327052,0.76993583868011,0.835820895522388,0.8556245670509084
common_average_reference,8,0,1662,24,0.8194945848375451,0.9162132752992383,0.6998654104979811,0.7906103286384977,0.8487903225806451,0.9133574588799049
original_A1A2_same_windows,8,1,1562,24,0.7746478873239436,0.6775280898876405,0.9032738095238095,0.9026946107784432,0.7740693196405648,0.894925428036383
common_average_reference,8,1,1562,24,0.8194622279129321,0.702247191011236,0.9747023809523809,0.9735202492211839,0.8159268929503917,0.8851641920813269
original_A1A2_same_windows,8,2,1659,24,0.8673899939722725,0.8439955106621774,0.89453125,0.9027611044417767,0.8723897911832947,0.9434762848391322
