global_window_index,max_abs_amplitude,max_peak_to_peak,max_abs_kurtosis,frontal_low_frequency_ratio,frontal_high_frequency_ratio,line_noise_ratio,min_channel_std,nonfinite,flat_channel
6431,829.0,1324.0,2.527215247190865,0.45716913010315974,0.09761011353106518,0.3488428542843782,85.75528089093751,False,False
6432,1124.0,1876.0,3.3681982979666767,0.3919813582148777,0.06048633572937808,0.3912712759606145,84.01800777780278,False,False
6433,1124.0,1876.0,5.90509369676397,0.27975721826903266,0.06144636805751012,0.30683273695549945,81.90519146051484,False,False
6434,2302.0,4084.0,7.598782337625613,0.3106945739453638,0.04188796804437673,0.30678788649045546,95.29173792102608,False,False
6435,2302.0,4084.0,7.532750420136036,0.39177603185173293,0.07451489024673785,0.23413695099971904,96.24332228446079,False,False
6436,719.0,1302.0,1.5497192298637135,0.07137902770442846,0.1463649445049865,0.3281477885554268,81.7006229288173,False,False
6437,903.0,1765.0,3.4524374822622246,0.11174248268691601,0.10814104725864311,0.3208928015146685,80.31746585203204,False,False
6438,903.0,1765.0,5.373945421833962,0.11676839441452344,0.12757561872569473,0.3239990171884608,76.80501647202045,False,False
6439,3958.0,5814.0,10.086721322101189,0.17994734944826685,0.02761615013547937,0.3318567698152451,118.57466610839984,False,False
6440,3958.0,5814.0,10.01805035418766,0.2506718024116215,0.05212886162361083,0.3483579881880345,121.34393986429966,False,False
6441,1156.0,2059.0,6.29888758566657,0.11622805557836849,0.12576357739726565,0.29240869564199445,94.11030986789596,False,False
6442,1156.0,2059.0,6.710162750338224,0.0899370070376734,0.13833619117024107,0.3542186308532212,89.52528885041366,False,False
6443,1966.0,2207.0,30.461821652666373,0.07657637809290045,0.13640341797364758,0.26287359168550817,82.53331955348297,False,False
6444,5020.0,5224.0,252.97135933817233,0.26821266538139077,0.02898898881641375,0.2974492387739099,80.34942523819569,False,False
6445,578.0,845.0,1.1478995356836892,0.17778255062920503,0.17769045800241612,0.3975676020246119,82.84124996135628,False,False
6446,578.0,882.0,0.5546123263721423,0.16912931828824615,0.19732546754592734,0.34259230084773756,79.90334346111337,False,False
6447,649.0,985.0,1.041854534745437,0.11031636972018044,0.15318729283764196,0.3866980509161938,80.15937053711191,False,False
6448,649.0,1066.0,1.8927383801993773,0.149256947500657,0.08723921151736806,0.38020680853761546,81.63985795094207,False,False
